,diff,Open,High,Low,Close,ma12,ma25,bb1_top,bb1_bottom,bb2_top,bb2_bottom,macd,signal,pDI,mDI,diffDI,dx,adx,separation,tenkan,kijun,senkou1,senkou2,chikou,pK,pD
2010-09-19,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.000910688821032353,-0.0012019103639503486,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.115,0.115,0.07500000000000001,,0.1,0.0,0.0
2010-09-20,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0008497925557647695,-0.001126905054971147,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.115,0.115,0.07500000000000001,,0.1,0.0,0.0
2010-09-21,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0007923975609737607,-0.0010552979889051504,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.115,0.115,0.07250000000000001,,0.1,0.0,0.0
2010-09-22,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0007383998008272524,-0.0009871693988089403,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.115,0.115,0.07250000000000001,,0.1,0.0,0.0
2010-09-23,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0006876790508454911,-0.0009225425045875908,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.06,0.115,0.07,,0.1,,0.0
2010-09-24,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0006401037732148146,-0.0008613955931083265,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.06,0.115,0.07,,0.1,,0.0
2010-09-25,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0005955350654048633,-0.0008036719947344487,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.06,0.115,0.07,,0.11,,0.0
2010-09-26,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0005538298377428807,-0.0007492882980627843,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.06,0.115,0.07,,0.1,,0.0
2010-09-27,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0005148433506830044,-0.0006981410907210211,1.0000000000000004,0.0,1.0000000000000004,1.0,1.0000000000000002,-5.782411586589354e-16,0.06,0.115,0.07,,0.11,,0.0
2010-09-28,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0004784312214972525,-0.0006501124685504544,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.07,,0.11,,0.0
2010-09-29,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.00044445099240303376,-0.0006050745170658171,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.07,,0.13,,0.0
2010-09-30,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0004127633372163625,-0.0005628929366483284,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.07,,0.15,,0.0
2010-10-01,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0003832329710476978,-0.0005234299555617112,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.07,,0.19,,0.0
2010-10-02,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0003557293169719894,-0.00048654665179798876,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.07,,0.17,,0.0
2010-10-03,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0003301269746964694,-0.00045210478529595044,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.07,0.08499999999999999,0.19,,0.0
2010-10-04,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.00030630602875757196,-0.0004199682256684736,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.0675,0.08499999999999999,0.2,,0.0
2010-10-05,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.00028415222748056496,-0.00039000404675043854,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.0675,0.07500000000000001,0.19,,0.0
2010-10-06,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0002635570586455305,-0.0003620833476351636,-0.0,-0.0,0.0,,,-5.782411586589354e-16,0.06,0.115,0.0675,0.07500000000000001,0.2,,0.0
2010-10-07,0.010000000000000009,0.06,0.07,0.06,0.07,0.06083333333333335,0.06040000000000004,0.06240000000000001,0.05840000000000006,0.06439999999999999,0.05640000000000009,0.0005533030543579398,-0.0002474462058734756,1.0000000000000042,0.0,1.0000000000000042,1.0,,0.15894039735099277,0.065,0.115,0.0675,0.07500000000000001,0.19,1.0,0.9999999999999972
2010-10-08,0.01999999999999999,0.07,0.09,0.01,0.09,0.06333333333333335,0.06160000000000004,0.06784499799839842,0.05535500200160165,0.0740899959967968,0.04911000400320326,0.0027824293189121357,0.00011109605093932101,0.11111111111111124,0.5555555555555557,-0.4444444444444444,0.6666666666666663,,0.46103896103896014,0.075,0.115,0.065,0.07500000000000001,0.19,1.0,0.9999999999999993
2010-10-09,0.0,0.09,0.12,0.07,0.09,0.06583333333333335,0.06280000000000004,0.07122614977317639,0.054373850226823686,0.07965229954635274,0.045947700453647336,0.004497187169273262,0.000656646107215946,0.28571428571428586,0.3571428571428572,-0.07142857142857134,0.11111111111111095,,0.4331210191082794,0.095,0.12000000000000001,0.065,0.07500000000000001,0.23,0.3999999999999999,0.6666666666666664
